member_casual,route,route_frequency
casual,Sheridan Rd & Argyle St - Western Ave & Berteau Ave,1
casual,Leavitt St & Lawrence Ave - Rockwell St & Fletcher St,1
casual,Halsted St & 51st St - Princeton Ave & 47th St,1
casual,Chicago State University - Cottage Grove Ave & 83rd St,1
casual,Cottage Grove Ave & 63rd St - Public Rack - Woodlawn Ave & 63rd St N,1
casual,Franklin St & Chicago Ave - Lincoln Ave & Roscoe St*,1
casual,Damen Ave & Melrose Ave - Lincoln Ave & Roscoe St*,1
casual,Larrabee St & Webster Ave - Paulina St & Montrose Ave,1
casual,California Ave & Francis Pl (Temp) - Cannon Dr & Fullerton Ave,1
casual,Clark St & Leland Ave - Halsted St & Willow St,1
casual,Wabash Ave & Roosevelt Rd - Halsted St & Willow St,1
casual,Michigan Ave & Washington St - Wabash Ave & Adams St,1
casual,Clark St & Wrightwood Ave - California Ave & Cortez St,1
casual,Loomis St & Archer Ave - Morgan St & 31st St,1
casual,Sedgwick St & North Ave - Clinton St & Lake St,1
casual,California Ave & North Ave - Clinton St & Lake St,1
casual,Damen Ave & 74th St - Halsted St & 78th St,1
casual,Princeton Ave & 47th St - MLK Jr Dr & 47th St,1
casual,Clark St & Elm St - Ravenswood Ave & Berteau Ave,1
casual,Logan Blvd & Elston Ave - Spaulding Ave & Armitage Ave,1
casual,Wood St & Augusta Blvd - Sheffield Ave & Kingsbury St,1
casual,Halsted St & Clybourn Ave - Walsh Park,1
casual,Canal St & Harrison St - Wabash Ave & Roosevelt Rd,1
casual,Eckhart Park - Desplaines St & Jackson Blvd,1
casual,Michigan Ave & 8th St - Green St & Washington Blvd,1
casual,Wacker Dr & Washington St - Franklin St & Illinois St,1
casual,Clark St & Lake St - Clark St & Lincoln Ave,1
casual,Clark St & Ida B Wells Dr - Franklin St & Chicago Ave,1
casual,Clark St & Randolph St - Racine Ave & Washington Blvd,1
casual,Pulaski Rd & Lake St - Laramie Ave & Kinzie St,1
casual,Albany Ave & 16th St - Pulaski Rd & 21st St,1
casual,Elston Ave & George St - Western Ave & Walton St,1
casual,Wentworth Ave & 33rd St - McClurg Ct & Ohio St,1
casual,State St & 95th St - Public Rack - Lafayette Ave & 87th St - NW,1
casual,Clark St & Berwyn Ave - Ogden Ave & Chicago Ave,1
casual,Wood St & Chicago Ave - Wells St & Hubbard St,1
casual,Larrabee St & Webster Ave - Wells St & Hubbard St,1
casual,Ashland Ave & Division St - Wells St & Hubbard St,1
casual,Franklin St & Adams St (Temp) - Ritchie Ct & Banks St,1
casual,Kildare Ave & Montrose Ave - Keystone Ave & Montrose Ave,1
casual,Austin Blvd & Lake St - Narragansett & Wrightwood,1
casual,Racine Ave & Garfield Blvd - Ashland Ave & 50th St,1
casual,California Ave & Francis Pl (Temp) - Central Park Ave & Elbridge Ave,1
casual,Lincoln Park Conservatory - Cherry Ave & Blackhawk St,1
casual,Paulina Ave & North Ave - Ada St & Washington Blvd,1
casual,Michigan Ave & 8th St - Ashland Ave & Lake St,1
casual,Green St & Randolph St* - Sangamon St & Lake St,1
casual,Troy St & Elston Ave - Wilton Ave & Diversey Pkwy,1
casual,Sedgwick St & North Ave - Southport Ave & Wrightwood Ave,1
casual,Racine Ave & 13th St - Clinton St & Madison St,1
casual,Damen Ave & Madison St - Kedzie Ave & Harrison St,1
casual,Clark St & Armitage Ave - Ashland Ave & Division St,1
casual,Fairbanks St & Superior St - Wells St & Evergreen Ave,1
casual,Michigan Ave & Ida B Wells Dr - Dearborn St & Adams St,1
casual,Wells St & Walton St - Larrabee St & Armitage Ave,1
casual,Western Ave & Grace St - Larrabee St & Division St,1
casual,Clark St & North Ave - University Ave & 57th St,1
casual,Sheffield Ave & Waveland Ave - State St & 33rd St,1
casual,Orleans St & Hubbard St - California Ave & Cortez St,1
casual,Racine Ave & Fullerton Ave (Temp) - Sheffield Ave & Fullerton Ave,1
casual,Public Rack - Woodlawn Ave & 63rd St N - Ellis Ave & 55th St,1
casual,Hampden Ct & Diversey Ave - Desplaines St & Kinzie St,1
casual,Larrabee St & Menomonee St - Eckhart Park,1
casual,Prairie Ave & Garfield Blvd - Calumet Ave & 51st St,1
casual,Ellis Ave & 55th St - Calumet Ave & 51st St,1
