member_casual,route,route_frequency,avg_ride_length_second
casual,Western Ave & Leland Ave - Kedzie Ave & Milwaukee Ave,1,1188
casual,Museum of Science and Industry - Fort Dearborn Dr & 31st St,1,1908
casual,Peoria St & Jackson Blvd - Shields Ave & 28th Pl,1,1036
casual,Canal St & Madison St - Ravenswood Ave & Irving Park Rd,1,501
casual,Racine Ave & Washington Blvd - Larrabee St & Kingsbury St,1,813
casual,Blue Island Ave & 18th St - Desplaines St & Randolph St,1,26576
casual,Wabash Ave & Grand Ave - Kedzie Ave & 48th Pl,1,301
casual,Michigan Ave & Washington St - Clark St & Schreiber Ave,1,266
casual,Rockwell St & Archer Ave - Wood St & 35th St,1,1089
casual,Blackstone Ave & Hyde Park Blvd - Public Rack - Kimbark Ave & 63rd St,1,759
casual,Ashland Ave & Lake St - Logan Blvd & Elston Ave,1,1407
casual,Halsted St & Maxwell St - Rockwell St & Eastwood Ave,1,268
casual,Francisco Ave & Montrose Ave - California Ave & Francis Pl (Temp),1,1077
casual,Racine Ave & 18th St - Damen Ave & Thomas St (Augusta Blvd),1,1396
casual,Eckhart Park - Canal St & Taylor St,1,933
casual,Racine Ave & Belmont Ave - Millennium Park,1,2349
casual,Lincoln Ave & Fullerton Ave - Clinton St & Tilden St,1,512
casual,Racine Ave & Washington Blvd - Kedzie Ave & Chicago Ave,1,742
casual,2112 W Peterson Ave - Broadway & Wilson Ave,1,1201
casual,Troy St & North Ave - Kosciuszko Park,1,1144
casual,Leavitt St & Chicago Ave - Ogden Ave & Race Ave,1,437
casual,Franklin St & Lake St - LaSalle St & Washington St,1,9608
casual,Broadway & Cornelia Ave - Larrabee St & Armitage Ave,1,644
casual,Broadway & Waveland Ave - Lincoln Ave & Roscoe St*,1,611
casual,Sedgwick St & North Ave - Paulina St & Flournoy St,1,1018
casual,Rockwell St & Fletcher St - Damen Ave & Clybourn Ave,1,407
casual,Rush St & Cedar St - Wood St & Webster Ave,1,1189
casual,Dearborn St & Monroe St - Mies van der Rohe Way & Chicago Ave,1,1330
casual,Canal St & Jackson Blvd - State St & Pearson St,1,1060
casual,Cityfront Plaza Dr & Pioneer Ct - Franklin St & Chicago Ave,1,652
casual,Kedzie Ave & 45th St - Franklin St & Chicago Ave,1,199
casual,Broadway & Cornelia Ave - Ogden Ave & Chicago Ave,1,1447
casual,Damen Ave & Chicago Ave - Peoria St & Jackson Blvd,1,891
casual,W Armitage Ave & N Sheffield Ave - Stave St & Armitage Ave,1,755
casual,Wood St & Webster Ave - Stave St & Armitage Ave,1,1464
casual,Financial Pl & Ida B Wells Dr - Michigan Ave & Washington St,1,449
casual,Artesian Ave & Hubbard St - Racine Ave & Randolph St,1,754
casual,Clark St & Leland Ave - Ashland Ave & Belle Plaine Ave,1,1451
casual,LaSalle St & Jackson Blvd - Ashland Ave & Chicago Ave,1,9670
casual,Ashland Ave & Grace St - Western Ave & Division St,1,466
casual,California Ave & Francis Pl (Temp) - Logan Blvd & Elston Ave,1,532
casual,Dearborn St & Adams St - Wood St & Milwaukee Ave,1,1529
casual,Lincoln Ave & Diversey Pkwy - Wood St & Milwaukee Ave,1,805
casual,Ravenswood Ave & Lawrence Ave - Broadway & Barry Ave,1,1108
casual,Aberdeen St & Jackson Blvd - Racine Ave & 13th St,1,385
casual,Field Blvd & South Water St - Wacker Dr & Washington St,1,709
casual,Clinton St & Washington Blvd - Elston Ave & Wabansia Ave,1,1163
casual,Clark St & Armitage Ave - Orleans St & Merchandise Mart Plaza,1,798
casual,Michigan Ave & Pearson St - Clark St & Wellington Ave,1,1882
casual,Pine Grove Ave & Irving Park Rd - Hoyne Ave & Balmoral Ave,1,915
casual,Harper Ave & 59th St - Peoria St & Jackson Blvd,1,3012
casual,Broadway & Waveland Ave - Clifton Ave & Armitage Ave,1,1123
casual,Sedgwick St & Webster Ave - Clifton Ave & Armitage Ave,1,581
casual,Carpenter St & Huron St - Leavitt St & North Ave,1,1257
casual,Green St & Randolph St* - Millennium Park,1,717
casual,Winchester (Ravenswood) Ave & Balmoral Ave - Clark St & Bryn Mawr Ave,1,560
casual,Dodge Ave & Church St - Western Ave & Lunt Ave,1,1754
casual,Clark St & Columbia Ave - Western Ave & Lunt Ave,1,895
casual,University Ave & 57th St - Dearborn St & Adams St,1,3013
casual,State St & Randolph St - Dearborn St & Adams St,1,162
casual,Western Ave & 21st St - Ogden Ave & Roosevelt Rd,1,303
casual,Western Ave & Monroe St - Larrabee St & Armitage Ave,1,1009
casual,Sheffield Ave & Webster Ave - Lincoln Ave & Waveland Ave,1,664
