weeknum,end_station_name,member_casual,count_of_users
15,Pine Grove Ave & Waveland Ave,casual,202
25,Field Museum,casual,202
29,Peoria St & Jackson Blvd,casual,202
15,Lincoln Ave & Fullerton Ave,casual,199
22,Theater on the Lake,casual,199
25,Lincoln Ave & Diversey Pkwy,casual,199
22,Sheffield Ave & Wrightwood Ave,casual,198
26,Michigan Ave & Lake St,casual,198
29,Kingsbury St & Erie St,casual,198
15,Wabash Ave & Grand Ave,casual,197
22,Rush St & Superior St,casual,196
15,Wabash Ave & 9th St,casual,195
22,Desplaines St & Kinzie St,casual,195
25,California Ave & Milwaukee Ave,casual,194
30,Clark St & Schiller St,casual,194
23,Clark St & Bryn Mawr Ave,casual,193
27,Kingsbury St & Erie St,casual,193
21,Wabash Ave & Wacker Pl,casual,192
29,Clinton St & Lake St,casual,192
29,Clark St & Winnemac Ave,casual,192
19,Indiana Ave & Roosevelt Rd,casual,191
19,DuSable Lake Shore Dr & North Blvd,casual,191
21,Stockton Dr & Wrightwood Ave,casual,191
23,Sheffield Ave & Willow St,casual,191
24,Burnham Harbor,casual,191
27,Southport Ave & Wellington Ave,casual,191
23,Clinton St & Lake St,casual,190
30,Mies van der Rohe Way & Chestnut St,casual,190
15,Shore Dr & 55th St,casual,189
18,Lincoln Park Conservatory,casual,189
17,DuSable Lake Shore Dr & Monroe St,casual,188
24,Clark St & Winnemac Ave,casual,188
22,Field Museum,casual,187
23,Southport Ave & Belmont Ave,casual,187
24,Southport Ave & Belmont Ave,casual,187
21,State St & Chicago Ave,casual,185
21,Field Museum,casual,185
23,Franklin St & Illinois St,casual,185
23,Honore St & Division St,casual,184
30,Peoria St & Jackson Blvd,casual,184
15,Kingsbury St & Kinzie St,casual,183
18,Broadway & Waveland Ave,casual,183
21,Green St & Madison St,casual,183
24,Sheffield Ave & Fullerton Ave,casual,183
27,Damen Ave & Pierce Ave,casual,183
17,Streeter Dr & Grand Ave,casual,182
20,Stockton Dr & Wrightwood Ave,casual,182
25,Bissell St & Armitage Ave*,casual,182
26,Sheffield Ave & Fullerton Ave,casual,182
28,Fairbanks Ct & Grand Ave,casual,182
28,Larrabee St & Webster Ave,casual,182
20,Sheffield Ave & Waveland Ave,casual,181
21,Wells St & Evergreen Ave,casual,181
24,Mies van der Rohe Way & Chestnut St,casual,180
23,Sheffield Ave & Wrightwood Ave,casual,179
