hour,end_station_name,member_casual,count_of_users
17,Columbus Dr & Randolph St,casual,144
15,Field Museum,casual,144
12,Green St & Madison St,casual,144
17,Desplaines St & Kinzie St,casual,143
19,State St & Chicago Ave,casual,143
21,DuSable Lake Shore Dr & Diversey Pkwy,casual,143
14,Broadway & Cornelia Ave,casual,142
14,Kimbark Ave & 53rd St,casual,141
18,Kimbark Ave & 53rd St,casual,141
15,Damen Ave & Pierce Ave,casual,141
14,Clinton St & Lake St,casual,141
13,Rush St & Superior St,casual,141
18,Clark St & Newport St,casual,141
20,Federal St & Polk St,casual,141
20,Halsted St & Clybourn Ave,casual,140
19,Clark St & Elm St,casual,140
19,Damen Ave & Pierce Ave,casual,140
18,Michigan Ave & 8th St,casual,140
22,Clark St & Wrightwood Ave,casual,140
17,Broadway & Sheridan Rd,casual,140
20,Canal St & Madison St,casual,140
15,State St & Kinzie St,casual,140
20,Theater on the Lake,casual,140
16,Wells St & Hubbard St,casual,139
18,Franklin St & Illinois St,casual,139
13,Kingsbury St & Kinzie St,casual,139
13,Southport Ave & Belmont Ave,casual,139
18,Kingsbury St & Erie St,casual,138
16,Clinton St & Washington Blvd,casual,138
21,Sheffield Ave & Fullerton Ave,casual,138
8,Sheffield Ave & Waveland Ave,casual,138
11,Clark St & Lincoln Ave,casual,138
21,Wells St & Concord Ln,casual,138
15,Clark St & Lincoln Ave,casual,138
18,Field Museum,casual,138
22,Shedd Aquarium,casual,138
8,Clinton St & Lake St,casual,137
16,Columbus Dr & Randolph St,casual,137
14,Canal St & Adams St,casual,137
7,Sheffield Ave & Fullerton Ave,casual,137
13,Green St & Madison St,casual,137
18,New St & Illinois St,casual,137
17,Franklin St & Illinois St,casual,137
15,Southport Ave & Belmont Ave,casual,137
15,Honore St & Division St,casual,136
12,Ellis Ave & 60th St,casual,136
18,Sheffield Ave & Webster Ave,casual,136
21,Broadway & Cornelia Ave,casual,136
19,May St & Taylor St,casual,136
17,Larrabee St & Division St,casual,135
20,Southport Ave & Belmont Ave,casual,135
9,Michigan Ave & Lake St,casual,135
13,State St & Kinzie St,casual,135
21,Federal St & Polk St,casual,135
11,Lincoln Park Conservatory,casual,135
19,Clark St & Lincoln Ave,casual,135
15,Lake Park Ave & 56th St,casual,134
19,Michigan Ave & Lake St,casual,134
13,Ellis Ave & 60th St,casual,134
16,New St & Illinois St,casual,134
18,Blue Island Ave & 18th St,casual,134
14,Lakefront Trail & Wilson Ave,casual,134
14,Green St & Madison St,casual,134
19,Southport Ave & Wellington Ave,casual,133
15,May St & Taylor St,casual,133
15,Michigan Ave & 8th St,casual,133
20,Mies van der Rohe Way & Chestnut St,casual,133
16,Ellis Ave & 55th St,casual,132
14,Michigan Ave & 8th St,casual,132
13,Wells St & Hubbard St,casual,132
17,Stockton Dr & Wrightwood Ave,casual,132
18,Wells St & Hubbard St,casual,132
17,Sheffield Ave & Wellington Ave,casual,131
16,Wells St & Huron St,casual,131
14,Kingsbury St & Kinzie St,casual,131
17,Bissell St & Armitage Ave*,casual,131
13,Kimbark Ave & 53rd St,casual,131
18,Fairbanks Ct & Grand Ave,casual,131
19,Wabash Ave & Wacker Pl,casual,131
19,Federal St & Polk St,casual,131
19,State St & Kinzie St,casual,131
20,Michigan Ave & Lake St,casual,130
15,Kingsbury St & Kinzie St,casual,130
18,Wood St & Chicago Ave,casual,130
15,California Ave & Milwaukee Ave,casual,129
7,Larrabee St & Kingsbury St,casual,129
17,Ellis Ave & 55th St,casual,129
10,Millennium Park,casual,129
16,Broadway & Waveland Ave,casual,129
12,Federal St & Polk St,casual,129
10,Ellis Ave & 55th St,casual,128
14,Wilton Ave & Belmont Ave,casual,128
13,Wabash Ave & Wacker Pl,casual,128
17,Lincoln Park Conservatory,casual,128
14,May St & Taylor St,casual,127
11,Sheffield Ave & Wrightwood Ave,casual,127
17,Damen Ave & Thomas St (Augusta Blvd),casual,127
15,Wilton Ave & Belmont Ave,casual,127
16,Peoria St & Jackson Blvd,casual,127
19,Ellis Ave & 60th St,casual,127
14,Damen Ave & Pierce Ave,casual,127
15,Southport Ave & Wellington Ave,casual,127
21,DuSable Lake Shore Dr & Monroe St,casual,127
10,Wells St & Concord Ln,casual,126
8,Clinton St & Washington Blvd,casual,126
17,Broadway & Waveland Ave,casual,126
15,Clarendon Ave & Gordon Ter,casual,126
19,Wilton Ave & Belmont Ave,casual,126
22,DuSable Lake Shore Dr & Diversey Pkwy,casual,126
14,Southport Ave & Belmont Ave,casual,126
21,Michigan Ave & Lake St,casual,125
18,Greenview Ave & Fullerton Ave,casual,125
14,Pine Grove Ave & Waveland Ave,casual,125
15,Wells St & Hubbard St,casual,125
16,Desplaines St & Kinzie St,casual,125
20,California Ave & Milwaukee Ave,casual,125
14,State St & Kinzie St,casual,125
19,Kingsbury St & Kinzie St,casual,125
18,Sheffield Ave & Wellington Ave,casual,124
13,Ellis Ave & 55th St,casual,124
18,Mies van der Rohe Way & Chestnut St,casual,124
16,Southport Ave & Wellington Ave,casual,124
11,Kimbark Ave & 53rd St,casual,124
13,Columbus Dr & Randolph St,casual,124
14,Southport Ave & Wellington Ave,casual,124
22,DuSable Lake Shore Dr & North Blvd,casual,124
18,Wells St & Huron St,casual,123
14,Ellis Ave & 60th St,casual,123
11,Sheffield Ave & Fullerton Ave,casual,123
9,LaSalle St & Illinois St,casual,123
15,Dusable Harbor,casual,123
14,Clark St & Lincoln Ave,casual,123
13,Lakefront Trail & Wilson Ave,casual,123
19,Mies van der Rohe Way & Chestnut St,casual,123
21,Sheffield Ave & Waveland Ave,casual,122
15,Canal St & Adams St,casual,122
18,Broadway & Sheridan Rd,casual,122
8,Ashland Ave & Division St,casual,122
9,Clark St & Wrightwood Ave,casual,122
