end_station_name,member_casual,count_of_users,,,end_station_name,count_of_users
Leavitt St & Division St,casual,286,,,,
Sheridan Rd & Greenleaf Ave,casual,286,,,,
Talman Ave & Addison St,casual,285,,,,
Orleans St & Merchandise Mart Plaza,casual,284,,,,
Lincoln Ave & Sunnyside Ave,casual,283,,,,
Central Park Ave & Elbridge Ave,casual,281,,,,
Milwaukee Ave & Wabansia Ave,casual,281,,,,
Lake Park Ave & 53rd St,casual,281,,,,
Southport Ave & Wrightwood Ave,casual,278,,,,
Ashland Ave & Chicago Ave,casual,276,,,,
Wentworth Ave & 35th St,casual,274,,,,
Fairbanks St & Superior St,casual,268,,,,
University Library (NU),casual,263,,,,
Damen Ave & Cullerton St,casual,263,,,,
Ravenswood Ave & Irving Park Rd,casual,262,,,,
Paulina St & Montrose Ave,casual,262,,,,
Clark St & Lake St,casual,261,,,,
Larrabee St & Oak St,casual,259,,,,
Cottage Grove Ave & 51st St,casual,259,,,,
Winthrop Ave & Lawrence Ave,casual,256,,,,
N Green St & W Lake St,casual,255,,,,
Harper Ave & 59th St,casual,255,,,,
Michigan Ave & Pearson St,casual,254,,,,
Wood St & Milwaukee Ave,casual,254,,,,
Halsted St & 18th St,casual,253,,,,
Wells St & 19th St,casual,252,,,,
Central Park Ave & North Ave,casual,250,,,,
Richmond St & Diversey Ave,casual,250,,,,
Clark St & Wellington Ave,casual,250,,,,
Francisco Ave & Foster Ave,casual,247,,,,
Leavitt St & North Ave,casual,247,,,,
Albany Ave & Montrose Ave,casual,244,,,,
Lincoln Ave & Roscoe St*,casual,242,,,,
Wood St & Webster Ave,casual,241,,,,
Lincoln Ave & Winona St,casual,238,,,,
Western Ave & Monroe St,casual,234,,,,
Lake Park Ave & 35th St,casual,233,,,,
California Ave & Altgeld St,casual,232,,,,
Calumet Ave & 33rd St,casual,231,,,,
Milwaukee Ave & Fullerton Ave,casual,228,,,,
Albany Ave & Bloomingdale Ave,casual,227,,,,
Racine Ave & 15th St,casual,227,,,,
Central St Metra,casual,226,,,,
Damen Ave & Leland Ave,casual,224,,,,
Elston Ave & George St,casual,220,,,,
Wabash Ave & Cermak Rd,casual,219,,,,
N Paulina St & Lincoln Ave,casual,219,,,,
Noble St & Milwaukee Ave,casual,218,,,,
Spaulding Ave & Armitage Ave,casual,217,,,,
Damen Ave & Melrose Ave,casual,215,,,,
Throop St & Taylor St,casual,210,,,,
Damen Ave & Walnut (Lake) St,casual,210,,,,
Lincoln Ave & Addison St,casual,209,,,,
Western Ave & Granville Ave,casual,209,,,,
Stave St & Armitage Ave,casual,209,,,,
Damen Ave & Clybourn Ave,casual,207,,,,
Knox Ave & Montrose Ave,casual,207,,,,
Glenwood Ave & Touhy Ave,casual,206,,,,
Lincoln Ave & Waveland Ave,casual,206,,,,
Artesian Ave & Hubbard St,casual,206,,,,
MLK Jr Dr & 29th St,casual,206,,,,
Clark St & Schreiber Ave,casual,204,,,,
Leavitt St & Addison St,casual,201,,,,
LaSalle St & Washington St,casual,200,,,,
Damen Ave & Madison St,casual,199,,,,
Larrabee St & Armitage Ave,casual,193,,,,
Buckingham Fountain,casual,193,,,,
Orleans St & Elm St,casual,193,,,,
W Armitage Ave & N Sheffield Ave,casual,191,,,,
Cannon Dr & Fullerton Ave,casual,189,,,,
Broadway & Granville Ave,casual,189,,,,
Wilton Ave & Diversey Pkwy*,casual,188,,,,
Sangamon St & Washington Blvd,casual,186,,,,
Ashland Ave & Belle Plaine Ave,casual,185,,,,
Clybourn Ave & Division St,casual,185,,,,
Ashland Ave & Augusta Blvd,casual,178,,,,
Morgan St & Lake St*,casual,178,,,,
Kedzie Ave & Lake St,casual,178,,,,
Kosciuszko Park,casual,176,,,,
Broadway & Argyle St,casual,175,,,,
Halsted St & Archer Ave,casual,172,,,,
Keystone Ave & Fullerton Ave,casual,168,,,,
Winchester (Ravenswood) Ave & Balmoral Ave,casual,168,,,,
Leavitt St & Armitage Ave,casual,166,,,,
Walsh Park,casual,166,,,,
Clark St & Ida B Wells Dr,casual,164,,,,
Drake Ave & Montrose Ave,casual,162,,,,
Paulina St & Flournoy St,casual,162,,,,
Kedzie Ave & Palmer Ct,casual,161,,,,
Ogden Ave & Congress Pkwy,casual,160,,,,
Cottage Grove Ave & Oakwood Blvd,casual,159,,,,
Sheridan Rd & Columbia Ave,casual,158,,,,
Wolcott Ave & Polk St,casual,157,,,,
Hoyne Ave & Balmoral Ave,casual,156,,,,
Long & Irving Park,casual,155,,,,
Avondale Ave & Irving Park Rd,casual,155,,,,
Eastlake Ter & Howard St,casual,155,,,,
Ashland Ave & Grand Ave,casual,150,,,,
May St & Cullerton St,casual,148,,,,
Shields Ave & 31st St,casual,147,,,,
Kimball Ave & Belmont Ave,casual,146,,,,
Indiana Ave & 26th St,casual,146,,,,
State St & 19th St,casual,143,,,,
MLK Jr Dr & Pershing Rd,casual,143,,,,
St. Louis Ave & Fullerton Ave,casual,142,,,,
Greenwood Ave & 47th St,casual,142,,,,
Avers Ave & Belmont Ave,casual,142,,,,
Drake Ave & Addison St,casual,142,,,,
Lakefront Trail & Bryn Mawr Ave,casual,140,,,,
N Carpenter St & W Lake St,casual,140,,,,
Troy St & Elston Ave,casual,138,,,,
DuSable Museum,casual,137,,,,
Canal St & Taylor St,casual,136,,,,
Winchester Ave & Elston Ave,casual,136,,,,
Financial Pl & Ida B Wells Dr,casual,136,,,,
California Ave & North Ave,casual,136,,,,
Montrose Harbor,casual,135,,,,
California Ave & Byron St,casual,135,,,,
Keystone Ave & Montrose Ave,casual,134,,,,
Kedzie Ave & Bryn Mawr Ave,casual,134,,,,
Elston Ave & Wabansia Ave,casual,133,,,,
Kedzie Ave & Chicago Ave,casual,133,,,,
Leavitt St & Archer Ave,casual,133,,,,
Ridge Blvd & Howard St,casual,133,,,,
Dodge Ave & Church St,casual,133,,,,
Halsted St & North Branch St,casual,131,,,,
Morgan St & 18th St,casual,129,,,,
Michigan Ave & 18th St,casual,129,,,,
Museum of Science and Industry,casual,128,,,,
Harlem & Irving Park,casual,128,,,,
Paulina St & Howard St,casual,125,,,,
Loomis St & Archer Ave,casual,124,,,,
Morgan St & 31st St,casual,122,,,,
Clark St & Lunt Ave,casual,122,,,,
Troy St & Grace St,casual,120,,,,
Racine Ave & Congress Pkwy,casual,118,,,,
N Shore Channel Trail & Argyle St,casual,117,,,,
Elizabeth St & Randolph St,casual,117,,,,
Cottage Grove Ave & 43rd St,casual,116,,,,
State St & 29th St,casual,115,,,,
California Ave & Fletcher St,casual,114,,,,
Prairie Ave & Garfield Blvd,casual,114,,,,
Monticello Ave & Irving Park Rd,casual,114,,,,
Kedzie Ave & 48th Pl,casual,113,,,,
N Southport Ave & W Newport Ave,casual,113,,,,
Sayre & Diversey,casual,113,,,,
Campbell Ave & Augusta Blvd,casual,112,,,,
Washtenaw Ave & Lawrence Ave,casual,108,,,,
California Ave & 23rd Pl,casual,108,,,,
N Damen Ave & W Chicago Ave,casual,108,,,,
Kedzie Ave & George St,casual,106,,,,
Ridge Blvd & Touhy Ave,casual,106,,,,
California Ave & Francis Pl (Temp),casual,105,,,,
California Ave & Francis Pl,casual,105,,,,
Rockwell St & Cermak Rd,casual,104,,,,
Clark St & Touhy Ave,casual,104,,,,
Western Ave & Berteau Ave,casual,103,,,,
Budlong Woods Library,casual,102,,,,
Wentworth Ave & Cermak Rd*,casual,101,,,,
Kilbourn Ave & Irving Park Rd,casual,101,,,,
Halsted St & 35th St,casual,100,,,,
Warren Park West,casual,99,,,,
Cherry Ave & Blackhawk St,casual,98,,,,
Burnham Greenway & 112th St,casual,98,,,,
Canal St & Harrison St,casual,97,,,,
Eggleston Ave & 69th St,casual,97,,,,
Wentworth Ave & 24th St (Temp),casual,96,,,,
Clark St & Columbia Ave,casual,95,,,,
Francisco Ave & Montrose Ave,casual,95,,,,
Wallace St & 35th St,casual,93,,,,
Rockwell St & Fletcher St,casual,93,,,,
Glenwood Ave & Morse Ave,casual,93,,,,
Racine Ave & 13th St,casual,93,,,,
California Ave & 21st St,casual,92,,,,
Racine Ave & 35th St,casual,91,,,,
Pulaski Rd & 51st St,casual,90,,,,
Lake Park Ave & 47th St,casual,88,,,,
Western Ave & Fillmore St,casual,88,,,,
State St & 95th St,casual,88,,,,
Western Ave & 111th St,casual,86,,,,
Warren Park East,casual,86,,,,
Smith Park,casual,84,,,,
Milwaukee Ave & Cuyler Ave,casual,83,,,,
Lockwood Ave & Wrightwood Ave,casual,82,,,,
Evanston Civic Center,casual,81,,,,
Jeffery Blvd & 67th St,casual,81,,,,
Public Rack - Kostner Ave & Armitage Ave,casual,81,,,,
California Ave & Lake St,casual,81,,,,
Dodge Ave & Mulford St,casual,80,,,,
Malcolm X College,casual,79,,,,
Albany Ave & Belmont Ave,casual,79,,,,
Francisco Ave & Chicago Ave,casual,79,,,,
