start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Damen Ave & Division St,casual,596,,,,
Sheridan Rd & Argyle St,casual,595,,,,
Larrabee St & North Ave,casual,594,,,,
Broadway & Thorndale Ave,casual,594,,,,
Clark St & Leland Ave,casual,593,,,,
Leavitt St & North Ave,casual,592,,,,
Orleans St & Chestnut St (NEXT Apts),casual,591,,,,
Ashland Ave & Lake St,casual,586,,,,
Chicago Ave & Sheridan Rd,casual,586,,,,
Wood St & Chicago Ave,casual,586,,,,
Green St & Washington Blvd,casual,584,,,,
Ashland Ave & Grace St,casual,584,,,,
State St & 33rd St,casual,583,,,,
Orleans St & Hubbard St,casual,577,,,,
N Green St & W Lake St,casual,573,,,,
Ellis Ave & 58th St,casual,571,,,,
Wolcott (Ravenswood) Ave & Montrose Ave,casual,571,,,,
Eckhart Park,casual,562,,,,
Humboldt Blvd & Armitage Ave,casual,555,,,,
Walsh Park,casual,553,,,,
Clinton St & Roosevelt Rd,casual,552,,,,
LaSalle St & Washington St,casual,549,,,,
Franklin St & Adams St (Temp),casual,548,,,,
Blue Island Ave & 18th St,casual,544,,,,
Cannon Dr & Fullerton Ave,casual,541,,,,
State St & Pearson St,casual,530,,,,
Western Ave & Division St,casual,530,,,,
Lincoln Ave & Belmont Ave (Temp),casual,527,,,,
Damen Ave & Wellington Ave,casual,527,,,,
Albany Ave & Bloomingdale Ave,casual,525,,,,
Southport Ave & Clybourn Ave,casual,519,,,,
Delano Ct & Roosevelt Rd,casual,518,,,,
Greenview Ave & Diversey Pkwy,casual,518,,,,
Broadway & Berwyn Ave,casual,516,,,,
Broadway & Granville Ave,casual,516,,,,
Jefferson St & Monroe St,casual,515,,,,
Aberdeen St & Monroe St,casual,515,,,,
Damen Ave & Grand Ave,casual,514,,,,
Ashland Ave & Blackhawk St,casual,511,,,,
Leavitt St & Armitage Ave,casual,510,,,,
Michigan Ave & 18th St,casual,510,,,,
Racine Ave & 18th St,casual,509,,,,
Milwaukee Ave & Rockwell St,casual,509,,,,
Noble St & Milwaukee Ave,casual,508,,,,
Ashland Ave & Wrightwood Ave,casual,506,,,,
Winthrop Ave & Lawrence Ave,casual,502,,,,
Clarendon Ave & Leland Ave,casual,502,,,,
Hampden Ct & Diversey Ave,casual,501,,,,
Campbell Ave & North Ave,casual,500,,,,
California Ave & Division St,casual,492,,,,
Milwaukee Ave & Fullerton Ave,casual,490,,,,
Lincoln Ave & Sunnyside Ave,casual,488,,,,
Logan Blvd & Elston Ave,casual,487,,,,
Fairbanks St & Superior St,casual,485,,,,
Clark St & 9th St (AMLI),casual,481,,,,
Lincoln Ave & Belle Plaine Ave,casual,480,,,,
Wabash Ave & 16th St,casual,467,,,,
Wood St & Augusta Blvd,casual,467,,,,
Dearborn St & Van Buren St,casual,461,,,,
California Ave & North Ave,casual,458,,,,
Buckingham Fountain,casual,456,,,,
Troy St & North Ave,casual,456,,,,
Ada St & Washington Blvd,casual,456,,,,
Clark St & Ida B Wells Dr,casual,456,,,,
Morgan St & Lake St*,casual,456,,,,
Damen Ave & Clybourn Ave,casual,454,,,,
Western Ave & Walton St,casual,447,,,,
Sangamon St & Washington Blvd,casual,446,,,,
Sheridan Rd & Lawrence Ave,casual,442,,,,
Damen Ave & Leland Ave,casual,440,,,,
Leavitt St & Chicago Ave,casual,440,,,,
Damen Ave & Charleston St,casual,438,,,,
Halsted St & Roosevelt Rd,casual,434,,,,
Morgan St & 18th St,casual,433,,,,
Wood St & Hubbard St,casual,421,,,,
California Ave & Montrose Ave,casual,419,,,,
Larrabee St & Oak St,casual,417,,,,
Leavitt St & Belmont Ave,casual,417,,,,
Central Park Ave & Bloomingdale Ave,casual,414,,,,
Ashland Ave & Chicago Ave,casual,413,,,,
LaSalle St & Adams St,casual,408,,,,
Lincoln Ave & Roscoe St*,casual,408,,,,
Stave St & Armitage Ave,casual,408,,,,
Kedzie Ave & Palmer Ct,casual,405,,,,
MLK Jr Dr & 29th St,casual,404,,,,
Financial Pl & Ida B Wells Dr,casual,400,,,,
Canal St & Taylor St,casual,398,,,,
W Oakdale Ave & N Broadway,casual,397,,,,
Elizabeth St & Fulton St,casual,393,,,,
Ravenswood Ave & Irving Park Rd,casual,389,,,,
Broadway & Ridge Ave,casual,389,,,,
Chicago Ave & Washington St,casual,388,,,,
Spaulding Ave & Armitage Ave,casual,388,,,,
Ashland Ave & Augusta Blvd,casual,385,,,,
Damen Ave & Foster Ave,casual,384,,,,
Artesian Ave & Hubbard St,casual,380,,,,
Clybourn Ave & Division St,casual,377,,,,
Sheridan Rd & Loyola Ave,casual,376,,,,
California Ave & Altgeld St,casual,375,,,,
Damen Ave & Sunnyside Ave,casual,373,,,,
Sedgwick St & Schiller St,casual,372,,,,
Richmond St & Diversey Ave,casual,371,,,,
Museum of Science and Industry,casual,367,,,,
Clinton St & Tilden St,casual,365,,,,
Wells St & Institute Pl,casual,364,,,,
Cornell Ave & Hyde Park Blvd,casual,361,,,,
Larrabee St & Menomonee St,casual,356,,,,
Lincoln Ave & Addison St,casual,356,,,,
Leavitt St & Division St,casual,353,,,,
Clark St & Lunt Ave,casual,352,,,,
Racine Ave & Congress Pkwy,casual,351,,,,
Blackstone Ave & Hyde Park Blvd,casual,351,,,,
Elizabeth St & Randolph St,casual,348,,,,
Orleans St & Elm St,casual,346,,,,
Throop St & Taylor St,casual,345,,,,
Greenview Ave & Jarvis Ave,casual,343,,,,
University Library (NU),casual,341,,,,
Paulina St & Montrose Ave,casual,340,,,,
Campbell Ave & Fullerton Ave,casual,337,,,,
Ellis Ave & 53rd St,casual,336,,,,
Paulina St & 18th St,casual,336,,,,
Racine Ave & Washington Blvd,casual,333,,,,
Glenwood Ave & Morse Ave,casual,330,,,,
Lincoln Ave & Waveland Ave,casual,329,,,,
Calumet Ave & 21st St,casual,325,,,,
Ashland Ave & Grand Ave,casual,324,,,,
Wolcott Ave & Polk St,casual,323,,,,
State St & 35th St,casual,318,,,,
Clark St & Schreiber Ave,casual,313,,,,
W Armitage Ave & N Sheffield Ave,casual,310,,,,
Calumet Ave & 33rd St,casual,307,,,,
Clark St & Elmdale Ave,casual,302,,,,
Lake Park Ave & 53rd St,casual,297,,,,
Western Ave & Roscoe St,casual,294,,,,
Talman Ave & Addison St,casual,292,,,,
Loomis St & Jackson Blvd,casual,291,,,,
Winchester Ave & Elston Ave,casual,291,,,,
Lake Park Ave & 35th St,casual,289,,,,
Damen Ave & Melrose Ave,casual,288,,,,
Ashland Ave & Belle Plaine Ave,casual,288,,,,
California Ave & Fletcher St,casual,286,,,,
Central Park Ave & Elbridge Ave,casual,284,,,,
Avondale Ave & Irving Park Rd,casual,280,,,,
