hour,start_station_name,member_casual,count_of_users
13,Montrose Harbor,casual,154
12,Michigan Ave & Lake St,casual,154
21,Streeter Dr & Grand Ave,casual,154
15,Sheffield Ave & Waveland Ave,casual,154
17,Wabash Ave & Roosevelt Rd,casual,154
16,Franklin St & Lake St,casual,153
17,Racine Ave & Belmont Ave,casual,153
12,Theater on the Lake,casual,153
18,Broadway & Waveland Ave,casual,152
3,,casual,152
12,University Ave & 57th St,casual,151
17,Pine Grove Ave & Waveland Ave,casual,151
12,Clark St & Armitage Ave,casual,151
13,Adler Planetarium,casual,150
17,Clark St & Randolph St,casual,150
18,DuSable Lake Shore Dr & Wellington Ave,casual,150
17,Halsted St & Clybourn Ave,casual,149
18,Ellis Ave & 60th St,casual,149
17,University Ave & 57th St,casual,149
17,Wells St & Evergreen Ave,casual,148
17,Green St & Madison St,casual,148
13,Clark St & Armitage Ave,casual,148
15,Wells St & Concord Ln,casual,148
17,Sheffield Ave & Wrightwood Ave,casual,148
15,Wells St & Elm St,casual,147
18,Sheffield Ave & Fullerton Ave,casual,147
16,Halsted St & Roscoe St,casual,147
18,Wabash Ave & Grand Ave,casual,147
19,Clark St & Armitage Ave,casual,146
18,Larrabee St & Webster Ave,casual,146
17,McClurg Ct & Ohio St,casual,146
15,LaSalle St & Illinois St,casual,146
17,Dearborn St & Erie St,casual,146
18,Lakeview Ave & Fullerton Pkwy,casual,146
19,Theater on the Lake,casual,146
17,Franklin St & Jackson Blvd,casual,145
19,Pine Grove Ave & Waveland Ave,casual,145
15,Mies van der Rohe Way & Chestnut St,casual,145
17,Broadway & Waveland Ave,casual,145
18,Dearborn Pkwy & Delaware Pl,casual,145
17,Dearborn Pkwy & Delaware Pl,casual,144
13,University Ave & 57th St,casual,144
18,LaSalle St & Illinois St,casual,144
16,Wells St & Huron St,casual,144
16,State St & Chicago Ave,casual,143
18,Dearborn St & Erie St,casual,143
20,Millennium Park,casual,143
17,Larrabee St & Webster Ave,casual,143
17,New St & Illinois St,casual,143
16,Wabash Ave & Roosevelt Rd,casual,143
14,Clark St & Lincoln Ave,casual,143
18,New St & Illinois St,casual,143
18,Montrose Harbor,casual,143
15,Larrabee St & Kingsbury St,casual,142
13,Ellis Ave & 60th St,casual,142
18,Wells St & Evergreen Ave,casual,142
15,Sheffield Ave & Fullerton Ave,casual,142
16,Canal St & Adams St,casual,142
15,Columbus Dr & Randolph St,casual,142
19,Ellis Ave & 60th St,casual,141
16,Ellis Ave & 60th St,casual,141
18,Clark St & Wellington Ave,casual,141
16,Broadway & Barry Ave,casual,141
19,Wells St & Concord Ln,casual,141
17,Lakeview Ave & Fullerton Pkwy,casual,141
19,Wabash Ave & Grand Ave,casual,140
18,Wilton Ave & Diversey Pkwy,casual,140
19,Wells St & Evergreen Ave,casual,140
18,Halsted St & Dickens Ave,casual,140
18,Desplaines St & Kinzie St,casual,139
17,Clark St & Winnemac Ave,casual,139
19,Montrose Harbor,casual,139
21,Sheffield Ave & Waveland Ave,casual,139
15,Dearborn St & Monroe St,casual,138
15,Franklin St & Jackson Blvd,casual,138
14,Wells St & Concord Ln,casual,138
19,Clark St & Lincoln Ave,casual,138
13,State St & Chicago Ave,casual,137
20,DuSable Lake Shore Dr & Monroe St,casual,137
16,Michigan Ave & 8th St,casual,137
15,Ellis Ave & 60th St,casual,136
14,Wabash Ave & Grand Ave,casual,136
16,Ellis Ave & 55th St,casual,136
19,Broadway & Waveland Ave,casual,136
17,Ravenswood Ave & Lawrence Ave,casual,136
16,Franklin St & Chicago Ave,casual,136
15,Clark St & Wrightwood Ave,casual,136
19,Dusable Harbor,casual,136
16,Pine Grove Ave & Waveland Ave,casual,135
14,DuSable Lake Shore Dr & Wellington Ave,casual,135
10,Michigan Ave & Oak St,casual,135
18,Michigan Ave & Washington St,casual,135
16,Lincoln Park Conservatory,casual,135
18,Michigan Ave & 8th St,casual,135
18,Halsted St & Wrightwood Ave,casual,135
16,New St & Illinois St,casual,134
17,Halsted St & Dickens Ave,casual,134
16,Dearborn St & Erie St,casual,134
15,Damen Ave & Pierce Ave,casual,134
18,Halsted St & Clybourn Ave,casual,134
19,Ashland Ave & Division St,casual,133
17,Michigan Ave & 8th St,casual,133
18,Columbus Dr & Randolph St,casual,133
13,Wells St & Concord Ln,casual,133
13,Broadway & Waveland Ave,casual,133
16,DuSable Lake Shore Dr & Belmont Ave,casual,133
