seasons,start_station_name,member_casual,count_of_users
2023SpringRide,California Ave & Milwaukee Ave,casual,416
2023SummerRide,Clarendon Ave & Gordon Ter,casual,416
2023SummerRide,Clarendon Ave & Junior Ter,casual,415
2023FallRide,Fairbanks Ct & Grand Ave,casual,415
2023SpringRide,Sheffield Ave & Wellington Ave,casual,414
2023SummerRide,Peoria St & Jackson Blvd,casual,409
2023FallRide,Broadway & Barry Ave,casual,408
2023SummerRide,Woodlawn Ave & 55th St,casual,407
2023FallRide,Larrabee St & Webster Ave,casual,406
2023SpringRide,Halsted St & Clybourn Ave,casual,405
2023SummerRide,Franklin St & Monroe St,casual,403
2023SpringRide,Sheffield Ave & Waveland Ave,casual,402
2023FallRide,Clark St & Newport St,casual,399
2023SummerRide,Ogden Ave & Chicago Ave,casual,398
2023FallRide,Lincoln Ave & Fullerton Ave,casual,398
2023SummerRide,Bissell St & Armitage Ave*,casual,397
2023SpringRide,Clark St & Randolph St,casual,396
2023FallRide,Wells St & Elm St,casual,395
2023SpringRide,Lincoln Ave & Fullerton Ave,casual,394
2023SummerRide,Kingsbury St & Erie St,casual,394
2023SummerRide,Field Blvd & South Water St,casual,393
2023SpringRide,Ravenswood Ave & Lawrence Ave,casual,391
2023SummerRide,Southport Ave & Wrightwood Ave,casual,386
2023SpringRide,Kedzie Ave & Milwaukee Ave,casual,385
2023SummerRide,Rush St & Hubbard St,casual,385
2023SummerRide,Halsted St & Willow St,casual,385
2023SpringRide,DuSable Lake Shore Dr & North Blvd,casual,384
2023SummerRide,Pine Grove Ave & Irving Park Rd,casual,384
2023SummerRide,Ravenswood Ave & Lawrence Ave,casual,382
2023FallRide,Wells St & Concord Ln,casual,380
2023FallRide,Broadway & Waveland Ave,casual,380
2023SummerRide,Racine Ave & Wrightwood Ave,casual,379
2023SummerRide,Sedgwick St & North Ave,casual,378
2023SpringRide,Dearborn Pkwy & Delaware Pl,casual,377
2023SummerRide,McCormick Place,casual,376
2023SummerRide,Michigan Ave & Madison St,casual,376
2023SummerRide,LaSalle St & Jackson Blvd,casual,374
2023FallRide,Wilton Ave & Diversey Pkwy,casual,374
2023SummerRide,Franklin St & Illinois St,casual,372
2023FallRide,Broadway & Cornelia Ave,casual,372
2023SpringRide,900 W Harrison St,casual,371
2023SpringRide,Federal St & Polk St,casual,370
2023SpringRide,Theater on the Lake,casual,370
2023SummerRide,Shore Dr & 55th St,casual,370
2023FallRide,Lakefront Trail & Wilson Ave,casual,370
2023SpringRide,Greenview Ave & Fullerton Ave,casual,368
2023SpringRide,Adler Planetarium,casual,366
2023FallRide,Ashland Ave & Division St,casual,366
2023SummerRide,Daley Center Plaza,casual,365
2023SpringRide,Halsted St & Wrightwood Ave,casual,363
2023SummerRide,Elston Ave & Cortland St,casual,363
2023SummerRide,Clark St & Montrose Ave,casual,362
2023FallRide,McClurg Ct & Ohio St,casual,362
2023FallRide,Adler Planetarium,casual,362
2023SummerRide,Dayton St & North Ave,casual,361
2023SpringRide,Clark St & Drummond Pl,casual,360
2023SummerRide,Seeley Ave & Roscoe St,casual,357
2023FallRide,Clark St & Wrightwood Ave,casual,356
2023SummerRide,Damen Ave & Chicago Ave,casual,355
2023SpringRide,Clark St & Lake St,casual,353
2023FallRide,Dearborn St & Erie St,casual,352
2023SpringRide,Cityfront Plaza Dr & Pioneer Ct,casual,350
2023SpringRide,Peoria St & Jackson Blvd,casual,350
2023SummerRide,State St & 33rd St,casual,350
2023SpringRide,Sheffield Ave & Webster Ave,casual,349
2023SummerRide,Wells St & Polk St,casual,349
2023FallRide,New St & Illinois St,casual,349
2023SpringRide,Franklin St & Illinois St,casual,347
2023SummerRide,Broadway & Argyle St,casual,347
2023SummerRide,Aberdeen St & Jackson Blvd,casual,347
2023FallRide,Wabash Ave & Grand Ave,casual,347
2023SpringRide,Damen Ave & Cortland St,casual,346
2023FallRide,Southport Ave & Roscoe St,casual,346
2023SpringRide,Milwaukee Ave & Wabansia Ave,casual,345
2023FallRide,Halsted St & Roscoe St,casual,345
2023SpringRide,Sheridan Rd & Irving Park Rd,casual,342
2023SpringRide,Southport Ave & Roscoe St,casual,342
2023SummerRide,Southport Ave & Belmont Ave,casual,342
2023FallRide,Sheffield Ave & Wrightwood Ave,casual,342
2023SpringRide,Western Ave & Winnebago Ave,casual,340
2023SpringRide,Aberdeen St & Jackson Blvd,casual,339
2023SummerRide,Broadway & Wilson Ave,casual,339
2023SpringRide,Sheridan Rd & Noyes St (NU),casual,336
2023SpringRide,Broadway & Sheridan Rd,casual,336
2023SpringRide,State St & Kinzie St,casual,336
2023SummerRide,Sedgwick St & Huron St,casual,336
2023SummerRide,Canal St & Monroe St,casual,336
2023SpringRide,Loomis St & Lexington St,casual,335
2023SummerRide,Sangamon St & Lake St,casual,335
2023SummerRide,Aberdeen St & Randolph St,casual,335
2023FallRide,Federal St & Polk St,casual,335
2023SpringRide,Sheffield Ave & Kingsbury St,casual,333
2023SpringRide,Lakeview Ave & Fullerton Pkwy,casual,333
2023SummerRide,California Ave & Cortez St,casual,333
2023FallRide,Lakefront Trail & Bryn Mawr Ave,casual,333
2023SummerRide,Broadway & Thorndale Ave,casual,332
2023SummerRide,Clifton Ave & Armitage Ave,casual,331
2023SpringRide,Field Blvd & South Water St,casual,330
2023SummerRide,Larrabee St & Armitage Ave,casual,329
2023SummerRide,State St & Van Buren St,casual,329
2023SpringRide,Lincoln Ave & Diversey Pkwy,casual,328
2023FallRide,Michigan Ave & Washington St,casual,328
2023FallRide,Dearborn Pkwy & Delaware Pl,casual,327
2023SpringRide,Broadway & Belmont Ave,casual,326
2023FallRide,Damen Ave & Pierce Ave,casual,326
2023SummerRide,Wells St & Walton St,casual,325
2023FallRide,Southport Ave & Waveland Ave,casual,325
2023SummerRide,Michigan Ave & 14th St,casual,324
2023SummerRide,Marine Dr & Ainslie St,casual,324
2023SummerRide,Western Ave & Leland Ave,casual,323
2023SummerRide,Ellis Ave & 58th St,casual,322
2023SummerRide,May St & Taylor St,casual,322
2023SpringRide,Clark St & Lincoln Ave,casual,321
2023SpringRide,Franklin St & Monroe St,casual,320
2023SpringRide,Wacker Dr & Washington St,casual,320
2023SummerRide,Larrabee St & Division St,casual,320
