weeknum,start_station_name,member_casual,count_of_users
14,Streeter Dr & Grand Ave,casual,102
14,Michigan Ave & 8th St,casual,102
15,Clark St & Newport St,casual,102
15,Halsted St & Dickens Ave,casual,102
21,Wabash Ave & Wacker Pl,casual,102
22,State St & Chicago Ave,casual,102
22,Columbus Dr & Randolph St,casual,102
23,Adler Planetarium,casual,102
24,Halsted St & Roscoe St,casual,102
29,Sheffield Ave & Fullerton Ave,casual,102
11,Wells St & Concord Ln,casual,101
15,Fairbanks Ct & Grand Ave,casual,101
15,Michigan Ave & Washington St,casual,101
20,Columbus Dr & Randolph St,casual,101
20,Wilton Ave & Belmont Ave,casual,101
22,Ashland Ave & Division St,casual,101
22,Broadway & Barry Ave,casual,101
22,Wilton Ave & Diversey Pkwy,casual,101
24,Southport Ave & Waveland Ave,casual,101
25,Sheffield Ave & Fullerton Ave,casual,101
27,New St & Illinois St,casual,101
27,Southport Ave & Roscoe St,casual,101
27,Clark St & Winnemac Ave,casual,101
28,DuSable Lake Shore Dr & Belmont Ave,casual,101
28,Fairbanks Ct & Grand Ave,casual,101
21,Dusable Harbor,casual,100
22,Wells St & Concord Ln,casual,100
24,Wabash Ave & Roosevelt Rd,casual,100
25,Wilton Ave & Diversey Pkwy,casual,100
26,Shedd Aquarium,casual,100
27,Larrabee St & Webster Ave,casual,100
27,Wabash Ave & Grand Ave,casual,100
28,Broadway & Waveland Ave,casual,100
29,LaSalle St & Illinois St,casual,100
13,Michigan Ave & Lake St,casual,99
28,Wilton Ave & Belmont Ave,casual,99
30,Indiana Ave & Roosevelt Rd,casual,99
15,Rush St & Cedar St,casual,98
18,Michigan Ave & Oak St,casual,98
24,Shedd Aquarium,casual,98
29,Adler Planetarium,casual,98
30,Montrose Harbor,casual,98
2,University Ave & 57th St,casual,97
15,Sheridan Rd & Noyes St (NU),casual,97
15,Lakefront Trail & Wilson Ave,casual,97
25,Rush St & Superior St,casual,97
27,Wells St & Concord Ln,casual,97
28,Clark St & Newport St,casual,97
28,Millennium Park,casual,97
29,McClurg Ct & Ohio St,casual,97
29,Broadway & Belmont Ave,casual,97
29,Michigan Ave & Lake St,casual,97
30,Larrabee St & Webster Ave,casual,97
12,Wells St & Huron St,casual,96
16,Michigan Ave & 8th St,casual,96
21,Wells St & Concord Ln,casual,96
23,McClurg Ct & Ohio St,casual,96
24,Michigan Ave & Lake St,casual,96
24,Montrose Harbor,casual,96
25,Clark St & Newport St,casual,96
25,Pine Grove Ave & Waveland Ave,casual,96
25,Sheffield Ave & Webster Ave,casual,96
27,Sheffield Ave & Webster Ave,casual,96
27,Halsted St & Dickens Ave,casual,96
15,Racine Ave & Fullerton Ave,casual,95
17,Michigan Ave & 8th St,casual,95
21,DuSable Lake Shore Dr & Belmont Ave,casual,95
21,State St & Chicago Ave,casual,95
21,Clark St & Elm St,casual,95
22,Pine Grove Ave & Waveland Ave,casual,95
26,Indiana Ave & Roosevelt Rd,casual,95
26,Clark St & Elm St,casual,95
26,Sheffield Ave & Waveland Ave,casual,95
26,DuSable Lake Shore Dr & Wellington Ave,casual,95
29,Sheridan Rd & Irving Park Rd,casual,95
6,Streeter Dr & Grand Ave,casual,94
10,LaSalle St & Illinois St,casual,94
13,University Ave & 57th St,casual,94
15,Green St & Madison St,casual,94
18,Ellis Ave & 60th St,casual,94
19,Millennium Park,casual,94
21,Ashland Ave & Division St,casual,94
22,Dearborn Pkwy & Delaware Pl,casual,94
26,Michigan Ave & Lake St,casual,94
30,Ashland Ave & Division St,casual,94
30,Damen Ave & Pierce Ave,casual,94
9,University Ave & 57th St,casual,93
15,Broadway & Sheridan Rd,casual,93
15,Larrabee St & Kingsbury St,casual,93
21,Sheffield Ave & Fullerton Ave,casual,93
21,Broadway & Cornelia Ave,casual,93
23,University Ave & 57th St,casual,93
23,Dusable Harbor,casual,93
23,Millennium Park,casual,93
24,Dusable Harbor,casual,93
27,Wells St & Elm St,casual,93
28,Dusable Harbor,casual,93
17,Ellis Ave & 60th St,casual,92
20,Michigan Ave & Oak St,casual,92
21,DuSable Lake Shore Dr & Wellington Ave,casual,92
22,Sheridan Rd & Montrose Ave,casual,92
22,Clark St & Wrightwood Ave,casual,92
25,Clark St & Schiller St,casual,92
25,Lincoln Park Conservatory,casual,92
26,Ashland Ave & Division St,casual,92
27,Clark St & Newport St,casual,92
29,Halsted St & Wrightwood Ave,casual,92
29,Larrabee St & Webster Ave,casual,92
10,Wells St & Concord Ln,casual,91
13,Adler Planetarium,casual,91
20,Wells St & Concord Ln,casual,91
21,Sheffield Ave & Waveland Ave,casual,91
22,McClurg Ct & Ohio St,casual,91
22,Southport Ave & Waveland Ave,casual,91
22,Dearborn St & Erie St,casual,91
23,Wabash Ave & Grand Ave,casual,91
24,Clark St & Newport St,casual,91
25,Clark St & Elm St,casual,91
26,New St & Illinois St,casual,91
28,Lincoln Ave & Fullerton Ave,casual,91
29,DuSable Lake Shore Dr & Wellington Ave,casual,91
29,Clark St & Elm St,casual,91
29,Ashland Ave & Division St,casual,91
21,Lincoln Park Conservatory,casual,90
23,Columbus Dr & Randolph St,casual,90
23,DuSable Lake Shore Dr & Belmont Ave,casual,90
23,Shedd Aquarium,casual,90
24,Wabash Ave & Grand Ave,casual,90
25,New St & Illinois St,casual,90
25,Fort Dearborn Dr & 31st St,casual,90
29,Clark St & Newport St,casual,90
29,Broadway & Waveland Ave,casual,90
30,Dearborn St & Erie St,casual,90
15,Halsted St & Fulton St,casual,89
15,McClurg Ct & Erie St,casual,89
20,Broadway & Cornelia Ave,casual,89
21,Clark St & Newport St,casual,89
21,Canal St & Adams St,casual,89
21,Columbus Dr & Randolph St,casual,89
24,DuSable Lake Shore Dr & Monroe St,casual,89
25,Sheridan Rd & Montrose Ave,casual,89
27,Broadway & Waveland Ave,casual,89
27,Southport Ave & Waveland Ave,casual,89
30,Clark St & Wrightwood Ave,casual,89
11,Field Museum,casual,88
12,Wells St & Concord Ln,casual,88
13,Indiana Ave & Roosevelt Rd,casual,88
15,Lakefront Trail & Bryn Mawr Ave,casual,88
15,Ellis Ave & 55th St,casual,88
15,Racine Ave & Belmont Ave,casual,88
21,Sheffield Ave & Webster Ave,casual,88
22,Wabash Ave & Wacker Pl,casual,88
24,Mies van der Rohe Way & Chestnut St,casual,88
27,Ashland Ave & Division St,casual,88
29,Wells St & Concord Ln,casual,88
30,Adler Planetarium,casual,88
2,Streeter Dr & Grand Ave,casual,87
15,Sheffield Ave & Wrightwood Ave,casual,87
21,DuSable Lake Shore Dr & Diversey Pkwy,casual,87
22,Clark St & Elm St,casual,87
22,Lakefront Trail & Bryn Mawr Ave,casual,87
23,Clark St & Wellington Ave,casual,87
24,DuSable Lake Shore Dr & Belmont Ave,casual,87
25,Clark St & Drummond Pl,casual,87
26,Michigan Ave & Oak St,casual,87
26,Theater on the Lake,casual,87
26,Broadway & Cornelia Ave,casual,87
27,Michigan Ave & Washington St,casual,87
28,Stockton Dr & Wrightwood Ave,casual,87
29,Clarendon Ave & Junior Ter,casual,87
29,Damen Ave & Pierce Ave,casual,87
29,Lakefront Trail & Wilson Ave,casual,87
30,Clark St & Newport St,casual,87
6,Millennium Park,casual,86
10,Shedd Aquarium,casual,86
13,Clark St & Newport St,casual,86
15,Southport Ave & Wellington Ave,casual,86
17,DuSable Lake Shore Dr & North Blvd,casual,86
18,Indiana Ave & Roosevelt Rd,casual,86
21,University Ave & 57th St,casual,86
23,Clark St & Newport St,casual,86
27,Southport Ave & Belmont Ave,casual,86
28,Ritchie Ct & Banks St,casual,86
28,McClurg Ct & Ohio St,casual,86
29,State St & Randolph St,casual,86
29,State St & Chicago Ave,casual,86
30,Wabash Ave & Grand Ave,casual,86
8,University Ave & 57th St,casual,85
12,Michigan Ave & Oak St,casual,85
15,Orleans St & Merchandise Mart Plaza,casual,85
15,Sheffield Ave & Wellington Ave,casual,85
17,Kingsbury St & Kinzie St,casual,85
19,Theater on the Lake,casual,85
20,Sheffield Ave & Webster Ave,casual,85
21,Wells St & Evergreen Ave,casual,85
22,Clark St & Wellington Ave,casual,85
23,DuSable Lake Shore Dr & Monroe St,casual,85
24,Clark St & Armitage Ave,casual,85
24,Broadway & Cornelia Ave,casual,85
24,Theater on the Lake,casual,85
26,Clark St & Wrightwood Ave,casual,85
27,Clark St & Grace St,casual,85
28,Clark St & Elm St,casual,85
28,Halsted St & Roscoe St,casual,85
28,Indiana Ave & Roosevelt Rd,casual,85
29,Lakefront Trail & Bryn Mawr Ave,casual,85
7,Theater on the Lake,casual,84
10,Kingsbury St & Kinzie St,casual,84
12,Kingsbury St & Kinzie St,casual,84
20,DuSable Lake Shore Dr & Wellington Ave,casual,84
20,Broadway & Waveland Ave,casual,84
21,Kingsbury St & Kinzie St,casual,84
24,Wilton Ave & Belmont Ave,casual,84
25,Dearborn St & Monroe St,casual,84
26,Sheffield Ave & Wrightwood Ave,casual,84
28,Lakefront Trail & Wilson Ave,casual,84
29,New St & Illinois St,casual,84
11,Millennium Park,casual,83
12,University Ave & 57th St,casual,83
17,Clark St & Elm St,casual,83
18,Sheffield Ave & Waveland Ave,casual,83
21,Lincoln Ave & Fullerton Ave,casual,83
21,Wabash Ave & Roosevelt Rd,casual,83
22,Clark St & Grace St,casual,83
23,Lincoln Park Conservatory,casual,83
23,Michigan Ave & Lake St,casual,83
24,Clark St & Grace St,casual,83
24,Sheffield Ave & Wrightwood Ave,casual,83
25,Clark St & Wellington Ave,casual,83
25,DuSable Lake Shore Dr & Monroe St,casual,83
25,Clark St & Lincoln Ave,casual,83
28,Wells St & Elm St,casual,83
28,Broadway & Barry Ave,casual,83
29,Southport Ave & Waveland Ave,casual,83
30,Cityfront Plaza Dr & Pioneer Ct,casual,83
30,Wells St & Hubbard St,casual,83
30,Clark St & Schiller St,casual,83
1,Streeter Dr & Grand Ave,casual,82
2,Ellis Ave & 60th St,casual,82
10,Sheffield Ave & Fullerton Ave,casual,82
11,Dusable Harbor,casual,82
13,Kingsbury St & Kinzie St,casual,82
13,Field Museum,casual,82
18,Theater on the Lake,casual,82
20,Clinton St & Madison St,casual,82
20,Clark St & Armitage Ave,casual,82
22,Federal St & Polk St,casual,82
23,Montrose Harbor,casual,82
23,Sheffield Ave & Wrightwood Ave,casual,82
25,California Ave & Milwaukee Ave,casual,82
25,Bissell St & Armitage Ave*,casual,82
26,Lincoln Ave & Fullerton Ave,casual,82
28,Larrabee St & Webster Ave,casual,82
30,Broadway & Cornelia Ave,casual,82
2,Wells St & Concord Ln,casual,81
3,University Ave & 57th St,casual,81
7,Shedd Aquarium,casual,81
10,Wells St & Elm St,casual,81
15,Cityfront Plaza Dr & Pioneer Ct,casual,81
17,Michigan Ave & Lake St,casual,81
18,DuSable Lake Shore Dr & Wellington Ave,casual,81
22,Sheffield Ave & Webster Ave,casual,81
25,Wabash Ave & Roosevelt Rd,casual,81
26,Dusable Harbor,casual,81
26,Field Museum,casual,81
26,Clark St & Lincoln Ave,casual,81
27,Broadway & Cornelia Ave,casual,81
27,Lakefront Trail & Bryn Mawr Ave,casual,81
29,Clark St & Schiller St,casual,81
30,Halsted St & Fulton St,casual,81
9,Clark St & Elm St,casual,80
11,LaSalle St & Illinois St,casual,80
12,Ellis Ave & 60th St,casual,80
15,Clark St & Grace St,casual,80
16,Desplaines St & Kinzie St,casual,80
17,Streeter Dr & Grand Ave,casual,80
19,DuSable Lake Shore Dr & Monroe St,casual,80
21,LaSalle St & Illinois St,casual,80
21,Clark St & Lincoln Ave,casual,80
21,Damen Ave & Pierce Ave,casual,80
22,Larrabee St & Webster Ave,casual,80
23,Sheridan Rd & Montrose Ave,casual,80
25,Halsted St & Wrightwood Ave,casual,80
25,Calumet Ave & 18th St,casual,80
27,Lakefront Trail & Wilson Ave,casual,80
27,Marine Dr & Ainslie St,casual,80
28,Lakefront Trail & Bryn Mawr Ave,casual,80
28,Dearborn Pkwy & Delaware Pl,casual,80
29,Clark St & Drummond Pl,casual,80
9,Broadway & Barry Ave,casual,79
9,DuSable Lake Shore Dr & North Blvd,casual,79
10,Clinton St & Washington Blvd,casual,79
17,Damen Ave & Pierce Ave,casual,79
20,Clark St & Lincoln Ave,casual,79
21,Pine Grove Ave & Waveland Ave,casual,79
22,Clark St & Newport St,casual,79
22,Broadway & Sheridan Rd,casual,79
22,Racine Ave & Fullerton Ave,casual,79
23,Wilton Ave & Belmont Ave,casual,79
25,Canal St & Madison St,casual,79
13,Ellis Ave & 55th St,casual,78
15,Clark St & Wellington Ave,casual,78
17,Wells St & Elm St,casual,78
20,Wells St & Evergreen Ave,casual,78
20,DuSable Lake Shore Dr & Diversey Pkwy,casual,78
22,Field Museum,casual,78
23,Michigan Ave & Washington St,casual,78
23,Broadway & Belmont Ave,casual,78
25,Ashland Ave & Division St,casual,78
25,Wood St & Milwaukee Ave,casual,78
25,Wabash Ave & Grand Ave,casual,78
28,Wilton Ave & Diversey Pkwy,casual,78
28,DuSable Lake Shore Dr & Wellington Ave,casual,78
30,Michigan Ave & Washington St,casual,78
30,Broadway & Barry Ave,casual,78
30,New St & Illinois St,casual,78
1,Shedd Aquarium,casual,77
2,Kingsbury St & Kinzie St,casual,77
12,Field Museum,casual,77
15,Ashland Ave & Division St,casual,77
18,Broadway & Barry Ave,casual,77
18,Wabash Ave & Grand Ave,casual,77
20,Ellis Ave & 60th St,casual,77
22,Lincoln Ave & Diversey Pkwy,casual,77
23,Lakefront Trail & Bryn Mawr Ave,casual,77
24,Lincoln Ave & Fullerton Ave,casual,77
25,Ellis Ave & 60th St,casual,77
31,Streeter Dr & Grand Ave,casual,77
9,Clark St & Newport St,casual,76
11,Clinton St & Jackson Blvd,casual,76
13,Wells St & Elm St,casual,76
13,Sheffield Ave & Waveland Ave,casual,76
13,State St & Chicago Ave,casual,76
14,Damen Ave & Pierce Ave,casual,76
14,Clark St & Armitage Ave,casual,76
15,Millennium Park,casual,76
18,Clark St & Armitage Ave,casual,76
18,Wells St & Concord Ln,casual,76
19,Ellis Ave & 60th St,casual,76
20,Wells St & Huron St,casual,76
21,Green St & Madison St,casual,76
22,Wabash Ave & Roosevelt Rd,casual,76
22,Wood St & Milwaukee Ave,casual,76
22,Sheridan Rd & Buena Ave,casual,76
23,Sheffield Ave & Waveland Ave,casual,76
23,Sheffield Ave & Fullerton Ave,casual,76
24,Clark St & Elm St,casual,76
26,DuSable Lake Shore Dr & Monroe St,casual,76
28,Damen Ave & Pierce Ave,casual,76
28,Kedzie Ave & Milwaukee Ave,casual,76
28,Pine Grove Ave & Irving Park Rd,casual,76
29,Lincoln Ave & Fullerton Ave,casual,76
29,Wabash Ave & Grand Ave,casual,76
30,Southport Ave & Roscoe St,casual,76
30,Lakefront Trail & Bryn Mawr Ave,casual,76
30,Clark St & Winnemac Ave,casual,76
30,McClurg Ct & Ohio St,casual,76
2,Sheffield Ave & Fullerton Ave,casual,75
2,Clinton St & Washington Blvd,casual,75
9,Damen Ave & Pierce Ave,casual,75
10,Millennium Park,casual,75
12,State St & Randolph St,casual,75
15,Clarendon Ave & Junior Ter,casual,75
15,Larrabee St & Webster Ave,casual,75
18,Wilton Ave & Belmont Ave,casual,75
20,Clark St & Wrightwood Ave,casual,75
22,Clark St & Drummond Pl,casual,75
22,Larrabee St & Kingsbury St,casual,75
23,Clark St & Drummond Pl,casual,75
24,Wilton Ave & Diversey Pkwy,casual,75
